,Chi-Square Statistic,P-Value,Dependent
Age,3006.527603297973,0.4630252030678835,True
Gender,96.07984615556887,0.5923466393859099,True
EducationLevel,279.2569508263888,0.7994883713534884,True
ExperienceYears,1488.7790173753756,0.5765986954903537,True
PreviousCompanies,382.38687105352557,0.7285520424370071,True
DistanceFromCompany,150000.0,0.4270804798268522,True
InterviewScore,10178.596935889434,0.10380991145106765,True
PersonalityScore,10114.348627918598,0.20890832641895937,True
RecruitmentStrategy,208.88217034591918,0.31884925550203697,True
HiringDecision,151.89080412392659,0.0006362081090592099,False
